url,local_path,filename,dimensions,file_size,alt_text,hash,is_duplicate,page_first_seen
https://www.freyerinternational.com//images/Awards/1.jpg,freyer-forensics/raw/images/1.jpg,1.jpg,675x1024,72897,,3df43169f61b18080d5a7a87079325e0e4c6b26e9786edd23fb5ba323af77e40,False,https://www.freyerinternational.com//awards
https://www.freyerinternational.com//images/Awards/2.jpg,freyer-forensics/raw/images/2.jpg,2.jpg,1024x724,148421,,033b829ba41801d9720710034693c6d03d649b1f911e7d3b2cbfd9e7efc5afb1,False,https://www.freyerinternational.com//awards
https://www.freyerinternational.com//images/Awards/3.jpg,freyer-forensics/raw/images/3.jpg,3.jpg,1674x2402,883258,,7611c4a8d5eb9b8db2390f8b27000d1aebc51dc316c778b1a414e7e15b1a06b2,False,https://www.freyerinternational.com//awards
https://www.freyerinternational.com//images/Awards/4.jpg,freyer-forensics/raw/images/4.jpg,4.jpg,523x674,50160,,da708e0594ae2511991c160a461c97fcc0ef863de84af04e1e1839de05ee9946,False,https://www.freyerinternational.com//awards
https://www.freyerinternational.com//images/Awards/5.jpg,freyer-forensics/raw/images/5.jpg,5.jpg,2180x1698,936252,,606535f14e1f471ad2bec66266b10b8e3c26ab702ba74d328ddbe688645ac9fd,False,https://www.freyerinternational.com//awards
https://www.freyerinternational.com//images/project/1.jpg,freyer-forensics/raw/images/1.jpg,1.jpg,640x481,59453,,80c91b377117127bc6199d8367fe8902bf8159fc0f4787e63b3902c36306ba96,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/2.1.jpg,freyer-forensics/raw/images/2.1.jpg,2.1.jpg,792x618,141389,,968453b4cee9c1fc6c0598c4f318785c9e3cfd18eaf882cb8d9eca10c7775135,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/2.2.jpg,freyer-forensics/raw/images/2.2.jpg,2.2.jpg,792x618,114698,,4c2b5dd37a8fc862b59a1c062faa52e59f1b1d76106216d7d2688c4648c95b10,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/2.3.jpg,freyer-forensics/raw/images/2.3.jpg,2.3.jpg,792x618,128200,,7e5df8e7823ce9a04dec21a056e646ccf26ef8013bdd93e9b894522c087ae205,False,https://www.freyerinternational.com//project
https://www.freyerinternational.com//images/project/2.4.jpg,freyer-forensics/raw/images/2.4.jpg,2.4.jpg,792x618,107170,,20c31e595923ad7d3670fd61a5fbffc60117f7fb8474e4bdc5cc4cc970cf4595,False,https://www.freyerinternational.com//project
