url,local_path,filename,type,mime_type,dimensions,width,height,file_size,page_first_seen,alt_text,hash,is_duplicate
https://www.freyerinternational.com//js/AnimOnScroll.js,freyer-forensics/raw/js/AnimOnScroll.js,AnimOnScroll.js,js,text/javascript,,0,0,4850,https://www.freyerinternational.com,,e2896d5937b8b96e1a103faadd59d1528a0bb33d9b24cfb918abc7d54b2b5430,False
https://www.freyerinternational.com//js/dcalendar.picker.js,freyer-forensics/raw/js/dcalendar.picker.js,dcalendar.picker.js,js,text/javascript,,0,0,19655,https://www.freyerinternational.com,,7d88b310f9b36a7ba87de98482f8c0dfda475bcdbfe8d23f23357062666c1d18,False
https://www.freyerinternational.com//css/style.css,freyer-forensics/raw/css/style.css,style.css,css,text/css,,0,0,32836,https://www.freyerinternational.com,,2f462f2c1c5f177c2e5dad142551a519bccc2d1a5469a929a6e5c8b3213a7eb4,False
https://www.freyerinternational.com//css/responsive.css,freyer-forensics/raw/css/responsive.css,responsive.css,css,text/css,,0,0,3170,https://www.freyerinternational.com,,2c1cb42648f8dff60e934d6d8b29c61c695fdc0343628e271551bdabc3427357,False
https://www.freyerinternational.com//css/menu.css,freyer-forensics/raw/css/menu.css,menu.css,css,text/css,,0,0,2298,https://www.freyerinternational.com,,7614f3f85bf47bc0556a6b2431967cae08cabb11ed2c0359d18869251d48aac2,False
https://www.freyerinternational.com//css/slick.min.css,freyer-forensics/raw/css/slick.min.css,slick.min.css,css,text/css,,0,0,1736,https://www.freyerinternational.com,,5c608ec443c1e8ae89a7751e16304b282883370cc3042205ab857c71306b54f5,False
https://www.freyerinternational.com//css/slider.css,freyer-forensics/raw/css/slider.css,slider.css,css,text/css,,0,0,4391,https://www.freyerinternational.com,,a980322d5dd47bc192f9d719129672a7cad9d947fb62da6fb6b855006dba78e9,False
https://www.freyerinternational.com//css/animate.css,freyer-forensics/raw/css/animate.css,animate.css,css,text/css,,0,0,67497,https://www.freyerinternational.com,,9220334ccdc20f496f407fcc7d76d23c466d7a92c2b6b7acbc0c787c52af8cf6,False
https://www.freyerinternational.com//css/simplelightbox.min.css,freyer-forensics/raw/css/simplelightbox.min.css,simplelightbox.min.css,css,text/css,,0,0,3225,https://www.freyerinternational.com,,866917e9104f35f49fe526db0a6c639f82aeb56b1004469ca878d9dd5574d43f,False
https://www.freyerinternational.com//css/dcalendar.picker.css,freyer-forensics/raw/css/dcalendar.picker.css,dcalendar.picker.css,css,text/css,,0,0,9823,https://www.freyerinternational.com,,d286b02ed31c649303d05c7d8b4b5c013d13dc29de92b3ed2ba816f395e61e9c,False
https://www.freyerinternational.com//css/jquery.mb.YTPlayer.min.css,freyer-forensics/raw/css/jquery.mb.YTPlayer.min.css,jquery.mb.YTPlayer.min.css,css,text/css,,0,0,0,https://www.freyerinternational.com,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False
https://www.freyerinternational.com//css/video-background.css,freyer-forensics/raw/css/video-background.css,video-background.css,css,text/css,,0,0,351,https://www.freyerinternational.com,,5172c48140dc5314141d3633cac15bb329a309aec1de267b5352552fbf14507a,False
https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css,freyer-forensics/raw/css/bootstrap.min.css,bootstrap.min.css,css,text/css; charset=utf-8,,0,0,121457,https://www.freyerinternational.com,,6d92dfc1700fd38cd130ad818e23bc8aef697f815b2ea5face2b5dfad22f2e11,False
https://www.freyerinternational.com/video/WhatsApp Video 2022-12-09 at 16.02.01.mp4,freyer-forensics/raw/videos/WhatsApp_Video_2022-12-09_at_16.02.01.mp4,WhatsApp_Video_2022-12-09_at_16.02.01.mp4,videos,video/mp4,,0,0,16430413,https://www.freyerinternational.com,,ee6e8085067bd2dec9c74abf5fd179b7a9f07eddb40c87285f7bdbe97cb895a3,False
https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15545.653822390444!2d80.2544392!3d13.0729626!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5b0e4873ced017c9!2sFreyer%20International%20Logistics%20Pvt%20Ltd!5e0!3m2!1sen!2sin!4v1607868482265!5m2!1sen!2sin,freyer-forensics/raw/other-assets/embed,embed,other-assets,text/html; charset=UTF-8,,0,0,3987,https://www.freyerinternational.com,,71b83c25649722d23f5c51859b0d18c75a54ba76a96164fd8c97dc2b9609a4ad,False
https://www.freyerinternational.com//images/Air-Services.jpg,freyer-forensics/raw/images/Air-Services.jpg,Air-Services.jpg,images,image/jpeg,1920x1280,1920,1280,283613,https://www.freyerinternational.com//services,,243fedba1a8b13ddb3996f8bec459ca9f5e947bc9ef9997a2117a88c1df4931c,False
https://www.freyerinternational.com//images/Ocean-Services.jpg,freyer-forensics/raw/images/Ocean-Services.jpg,Ocean-Services.jpg,images,image/jpeg,1920x1280,1920,1280,510212,https://www.freyerinternational.com//services,,5b20f0c405581f46f8cdbb0a2f183e3733245e021660a7bec57f254939653b7d,False
https://www.freyerinternational.com//images/Customs-Services.jpg,freyer-forensics/raw/images/Customs-Services.jpg,Customs-Services.jpg,images,image/jpeg,1920x1280,1920,1280,454864,https://www.freyerinternational.com//services,,f35030d872c232b038e912a7436220515f73865ccca2dcbda875f6896d34c435,False
https://www.freyerinternational.com//images/Warehouse.jpg,freyer-forensics/raw/images/Warehouse.jpg,Warehouse.jpg,images,image/jpeg,1920x1280,1920,1280,565457,https://www.freyerinternational.com//services,,1382b710a964413d903d21daa5f428a7808e008cc91b33688a8f0ec002d4102e,False
https://www.freyerinternational.com//images/Risk-Management.jpg,freyer-forensics/raw/images/Risk-Management.jpg,Risk-Management.jpg,images,image/jpeg,1920x1280,1920,1280,423296,https://www.freyerinternational.com//services,,e13da4c66e1cf71870c0ec8d9883031d4cb00bf872207450ae33ac89c6292b2a,False
